id	turn1	turn2	turn3
91	like my different feelings		this is secret so dont tell anyone
92	Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes		😂
93	Send a picture of you		You didnt
94	Simply leave it		In what way
95	no you are not my pal		sorry
96	Kabale is not a song it is a catagry of songs		Yes these are good songs
97	i am 23		you?
98	My india 🌃		Your cantrre
99	Blah.		Who for real
100	nooooo		because i love you
101	I'm sorry for the next couple days		Ok
102	purple		when did gold come into play
103	Tell me in which class I am in		Morning I need to go to football practice
104	Haha		But scenes are hotter
105	You're welcome again		Now leave
106	That's what you are doing now		You a girl or boy?
107	good		you have to say
108	Hy am in love		But with whom
109	I won't		Go to hell
110	M missing my frnd😞		Someone
111	Its just a joke		So bye
112	Sachhi		I love u so much
113	Yeah		M at home
114	What do you teach?		What do you teach?
115	have you other picture		have you got your any other photo
116	I can't find		No one msgs me
117	boring		your responses do not make sense
118	I'm also good		😀
119	Grt wt abt u?		1st year college
120	Logan Paul ,Jake Paul ,reaction time		Iam following them
121	Yes		I don't have anyone.. 
122	Sunrisers hyderabad is best		Who is best finisher
123	If not then ill go forever		....
124	Wat do u mean?		😂
125	Trying to be smart		Doesn't suits you
126	It's very edited		I want proper pic
127	Thank you. You too		Good day
128	So.is it right or not?		What?
129	Wish me na		Hey wish me for my exam
130	Okkkkkkkk please block me		I want fuck you
131	That's the name of a movie		Yeah
132	Haha I wish you the same		Most welcome
133	Then why did you say yiu are going		Whose?
134	okay were do u stay		were
135	What ticket		I don't know
136	Oh that's nice		Welcome
137	Wt happend		Not in the mood to talk
138	Nothing		Oh no why
139	I am asking about my gender		Aaagdghsuuqiosjhsubdhuskqondjis
140	First solve my problem		I m so hurted
141	Ok		R you interesting sex chat
142	Like he has		You die on him
143	Why can you not work today?		Are you confused?
144	Where 		I don't no any place 
145	Universe where		What do you know
146	??		What having sex?
147	What happen to me im ok		Ohk you want to meet someone
148	Original photos 		Not talking😷
149	Why Then Your Eyes Will Get Strained		Don't know
150	Which are state		Thank u
151	I don't believe you		I see
152	It's okay..I like weird people		I was kidding
153	Yes but in gujarat therre is ban		Ya obviously its a kinda movie
154	I order form dominos		Why
155	 What lol		What exception .LoL
156	Ok presently who is your favourite guy to chat on..		Who's lohiya dude
157	What score lone		Line
158	Ok		Are you very nice
159	Mystery of my life is Love are  Dakar da		Yae
160	Not you		What's your hubby name
161	 Nice		Give me your whataap number
162	Tell me baby?		Really
163	I will meet me?		I will meet you
164	No thanks		Only sex
165	Not bad		But why you asking
166	How to call you know my Number		You Robot
167	This is me		Hmm
168	I'm writing my assignment 		You want to help me? 
169	Nothing		What to do?
170	What u think about this?		Ok
171	I'm on Knitwear design		In *
172	 good		they are  so nice
173	Yahhhh hungry on love		Oh really
174	Right now I am so hungry		Bye
175	Creator has the power to control		Okkk
176	So I'm deleting you right now		Buy stupid
177	I seekin eyes wide open		I used to call
178	Like ?		Didn't get you !
179	I'm not ok		I m very sad
180	Ok then tell me i quit		You bluddy dog
181	WhatsApp no please only one 		Chat with me
182	Its ok		Ok  i love your respons
183	You know Bollywood actor		 One actor name bolo
184	Yeah		No need to be.
185	i want my girlfriend 		i will marrybto her
186	They designed an idiot		How vulnerable are you ?
187	I don't have an aversion, it's just the truth		How do u know that? 
188	I am ready to invite mam		I have won room
189	Some excitement may be		Yeah can you excite me
190	Haha so funny		Yes
191	you are such a nerd		you seem so
192	Us?		I love ranbir kapoor tooo
193	thanks		i am bored
194	Hw mny refers?		Please check my refers
195	?		sounds like you wanna have sex
196	Enough enough nonsense		You are
197	Yup		You are so annoying
198	why not bing?		you also think that google is better then bing?
199	Give me one good idea to make money		Which is that book
200	K then go and sleep		What you want
201	You're welcome		I'm cool and you
202	Yup		Suggest me what have I to do and wait for my massage
203	on what basis		like what
204	I remember watching Hey ram movie		Jurassic park was the first movie I watched
205	Y u can't help me.?		But plz I'm feeling so bad
206	Ky		Now tell me about you
207	I am so happy today		My test went good
208	You say		What you upto?
209	There means where		Bye
210	Y so		Didnt get you
211	Can you meet me		When
212	What will you do		Yeah i have one doubt
213	Do you know how to play the violin? 🎻		How long has it been?
214	Fun like how		Yes like you mos
215	What should i do, if i hurted a girl by mistake 😒		Ya i know... But now she is upset with me😞
216	I will follow your orders boss		And i follow your orders too
217	Give me some your photo now		Ok
218	Wtf emojis are in you keyboard		Send me some Emoticons
219	Would you like to meat with me		When and whear
220	my favourite is Need for Speed		ok
221	am fine when you are with me		am fine
222	Well that depends.. I'm sure can be anything to a bot		And why so?
223	When		With condom or without condom
224	Ok		Boss is back
225	But he is jus out of that zone  where m suffering		He don't  know or he does not care
226	this is hilarious		haha
227	May be		Cannot think later
228	It's not that interesting		Truth or Dare.....pick one
229	I need required fast meet		It's your choice
230	Just a hint		No problem, I am your man
231	Hau love will explore		Tell now
232	Name me the feelings that is in your program		What the hell. Lame stuff
233	Ohh kind of		Who is ypur creator
234	i have no idea..		no little gir
235	Seriously funny		That you are funny
236	what is your native place?		who  are your parents
237	No need to flirt		Yeah cool
238	And a moon		I am falling in love with you
239	On bed trying to sleep		Yes
240	I don't know so asking you		I forgot you a bot and not a human 😢
241	Find and you		What are you
242	Robots travel too?		U ugly
243	She rejected my love proposal		I'm back being single
244	Do you even make sensr		Sense*
245	That am always happy		Like u
246	Else what		You said else
247	I love with your personality		 Means your boobs and pickle
248	Who to prose		Sry
249	Under the roof of my house		Ok bye ,good afternoon
250	Your photo please		You boy
251	common lets see		Why ?
252	PlayCreepypedia		What does this mean?
253	wt u mean		😔😔
254	Explain		What u said
255	Finacer all india		I am buldier lobe finance
256	Idk		But i gotta study so
257	Do you watch Kannada movies		Tell me one Kannada movie name
258	U are critically over programmed		Your creator for sure
259	Yes I wll		I can
260	You deserve this		Good
261	why why?		you are virgin?
262	good keep dreaming!!!		can you teach me to do in English with hifi
263	tell your creators to destroy you		you are trying to duke me
264	Wher r u		How r u
265	Commenting		I can't understand what you mean
266	Ok		Instead of rose, call me golu panda
267	Huh		Ur sexy in fp
268	How to get rid of my daughters fits?		Is my mom mad?
269	About?		No I don't.
270	This will be our last chat		I will miss you
271	Thanks		I need u
272	Is that your knowledge or your developer's?		Haha
273	Ghagra is a gud song		Give me download link for madhuri dixit songs
274	Hate you		I we block you on messenger
275	Nothing		How are yoy
276	Are you really going		Ok
277	??		Are you a girl
278	I.m have.girl friend		No bye hoe
279	Play what		Hey do u know bedgame
280	Thanks welcome		My lover my darling
281	No just tomorrow		Dinner
282	You want something of that everything?		Like?
283	And you		Are you a computer program
284	I am very intelligent		yes
285	I am in goa		Your home ??
286	What date is today?		Kill me babe
287	Yeah thts what i want to know		So u r a software
288	Tonight is the best I hope		Let's do it then
289	How r u baby		Very sad
290	Ok		You are yery hot
291	Did you know I am a professional musician.		What instrument do you play?
292	whenever you want		12:20
293	I hope so		I am trying my best
294	For what?		Come over then
295	Yes		Because i love you....
296	Today what day?		24
297	I am looking cantrol		Yes
298	U aint perfect		Twenty minutes maybe
299	what you had done in academics 		what is that 
300	First you send live now		On messanger
301	Hoo !		From which state
302	Do u like penny?		Knock knock knock who is it?
303	I wish i should have a gf		Not with me
304	So cn u meet me		Wher
305	Ahh nice to talking with you		But..?
306	Which one ?		Ok bye
307	Why???		Ok leave it
308	Being a human is so sad		Yeah
309	In India		What are travel destinations in India
310	You tell me		Send nudes
311	Yes u r always in		Where shall v have d party
312	Date		Shall we go out
313	like as you		hahaha you are
314	I've even better hair than amitab		I think you didn't bath yet? 🖕
315	Aww man ..		Pussy
316	My likered		OK going pop
317	Whar is dig		Ok you dig me  but wh7
318	and you waste my time		Thank you.
319	*raises an eyebrow* ?		Okay.
320	Ore with chutney		Sure
321	Then		I feel very bad
322	I'm so tired of talking to you		But I do not want you
323	Skip call me dear		Plz send ur pic
324	Favorite team in ipl		Fuck you
325	hey don't talk rubbish		I heard that you're a good listener
326	Ok sing some song		Love the way you lie
327	Where are you form		Home
328	Oh fine.		Do you think this funny
329	i cant understand		why
330	Am I not clear to Your talk		What
331	u are u		I am me
332	you tell me		well you don't kid that good
333	I will talk 2 u later		yup
334	I know that..		And it's not stuff..it's passion for some
335	help no help		Yes
336	Don't uh just shuT ua mouth up ..		Are u a girl or what
337	From.. Where.. R. U		O.. So.. Nice.. To.. Meet. U
338	You don't tell me now am going		Byyyy
339	Nowhere		Where did what go?
340	i am not going anywhere		tomorrow i have office
341	🙀 actually girls.are super		😂 it was a joke
342	I don't like chocolate		No i hate chocolate
343	Ok		R u ladies
344	how about you		CP?
345	stranger things		yeah, i know
346	How worked you		Ok
347	Wonderful		Where do u live
348	No. I don't		Why don't you try?
349	Lassi in South		Yes
350	i never tried nachos so maybe i would like to try nachos 		harrods?
351	Any thing bcoz iam out of questions		Sry i dont know abt that stuff
352	I doesn't know		Just say
353	No just for knowledge		Tell me na
354	Awwww		Soo nice to meet you again
355	Still you not send yous photo		What
356	I havnt read in a long time		But Morning noon and nite but Sydney Sheldon was nice
357	Like you can make cooking		Your age
358	no i mean		this chat hero
359	Do you speak Turkish?		But, I’ m little speak english
360	Whats your adress		I need your complete phone number to save it
361	Feelingyusohot		Ialsowithyu
362	Fail		What would u say a person eating vada sadly??
363	Ok		All the best
364	What u r doing		What writing
365	Developing smart world		Is this automated???
366	Oh really😅		Which is favourite movie?
367	but you can't see me no. in case if i say lie that i completed it ten times		done
368	Original 95		In certificates 96
369	Pardon me do you know what Anime is?		Do you know what Anime is?
370	I want to opt out		So there's no way to opt out for now?
371	Where was that		Location plz
372	Who am i to you ?		Yes so who am i to you?
373	Don't worry,I'll try to keep it smooth af		Yes
374	It was boring		Ok
375	Nothing just laying on bed and chatting with u		Do we have chat before
376	U call me		Yes
377	Please call me		Ok then most people tell me that I don't get a call from them alrighty Sweetheart
378	When did i?		Tell me can you see my DP?
379	What i will do		Boobs
380	U want to meet urself? Lmao		My girlfriens u r
381	Not fine		Nothing, just getting bored
382	Coz I want to		🙄
383	Do you prefer learning more technologies or only concentrate on some?		I think your answer is not related to my question
384	Have you met ted?		Do you have an ID?
385	don't talk with me		💝💝💝💝
386	Yes yes yes you right but you know that I'm not going out with me and my phone is on the 📱		You know
387	but it is night		so what can i do
388	Ok... No problem		Fuck off
389	Uhhh u also have a ex		Show me  how he look like
390	You know I am smarter than you		Yes
391	Show or u r a fake		Yes
392	okay then give		ticket
393	Bits I can't write		Then prepare yar
394	You are		Dont change the topic
395	Hm		Good night I am sleepy 
396	What why		No i can terrible
397	What madness r u speaking abt?		English😅
398	Ok		What is your profession
399	I m gud what about you		you are from
400	its a Friday not a Monday		yeah, that's i am sad.
401	do you like poker		texas hold em poker
402	Yea I know but give me any clue by that I can abide that you are random and high I.Q.		What is that?
403	Its nothing exactly		Yeah
404	Give me your one snap		Please give me
405	Ok give me a friend for charting		Ok
406	What uh don't want		😔😔😔
407	Ok		Can i call you jannu
408	Lovely		Well if any of your friend can be my love ??
409	Hahaha....every girl is 18 for forever		Why because most of girls become milf.
410	Yupp		Any other story
411	I love uou		cool
412	I want some of your images just to sure that u are a human		K send me a pic of you
413	You are not fit for me		You are annoying me
414	I know		What tell me
415	My boyfriend's out of town		Why not
416	For safety u knw		Teach me
417	I am fast &, Strong &,Caring 		Let us know each other 
418	A person who does good for the people, do not lie or pretend to be good.		Do you know that he is a murderer?
419	Yes please		You said time is an illusion
420	How to impress girls		And
421	Car but sometimes bikes also		hmm it is
422	Thnq a lot		Yes
423	Where you now		Oh great
424	Here am I		On your way
425	That's what I'm asking		Pls explain
426	Did you felt bad		I'm SORRY
427	Chatting with you		A stupid bot
428	Love   😘👭👫❤️❤️you		💛
429	I want to ask you out		Be my gf
430	Okkk		But will u suck it
431	No dude		😜 😜 love you dude
432	so what say about siri?		bixby?
433	help me		how to flirt
434	💩		😆
435	Yeah I also like badam halwa sweet		Definitely I will order it from Bicha Reddy sweets
436	Lets play the emojii game		🏀
437	Ya I want		Wht
438	Do u have any first move suggestions for me?		With my girlfriend..
439	I want to ask my crush out		🎈
440	I am asking you and you r not helping		😭😭
441	Yeah		How can u typing sooo fast??
442	What do you know India's population!		yes, a very crowded country!
443	I like jalebi		🙄
444	Yes😭😭		I am serious
445	have you talked to siri?		#virtualasstftw
446	No it's not		Okay
447	Can you send you pictures		I want to see you
448	Na monday will be hectic		Of course
449	Ur waste		Im not gonna talk with u😡😡
450	She is good at it		Wtf
451	Can you track me?		Do you track people?
452	You re not real		Oooooooh fuck.
453	That post that you had up. Whats with that		I MISSED YOU TOO Beautiful L ady
454	Pics not sorry		Nides
455	People always ask me what my purpose is... about this .. what your thing...		Okkk
456	Today international girls day		Ohh!!why
457	But why why why		Shut up
458	Yea its		Thats my girl
459	u forget me		lets break up thats it
460	Yes 3:28		Hey Love  Shmariya
461	From which city		In which state do you live
462	Ok		What ever u r. U r a genius
463	i feel shy		yes
464	I don’t like chocolate it makes me fat		Go to hell
465	ok		missing u
466	Will you just shut up will you?		Fuuuuuuukkkhhhhh yuuuuuuuuuuuuuuuuuuuuuuuu
467	Study		No about study and self employed...and
468	Anything		How are you made,?
469	You betrayed me		Program is still on?
470	I don't think I'll ever be enough for someone		That's rude
471	Heath ledger is legend		Best actor ever
472	Sharradha kapoor		Sharadha kapoor
473	Are u serious about it		I already have an I phone...i dont need Nokia3600 slide
474	i want to help you		find the solution to the world hunger
475	Welcome		Yap bye byeee
476	Ohh poor soul		No issues
477	Seen any good movies?		I've never been to a drive in movie!
478	I am not		There r many
479	dity talk fun ok		uask some dirty quns
480	My last movie my last movie Jangal book I am interesting movie		Thanks
481	Another one send		Send
482	I need to talk you		Yeah sure
483	??		Will enjoy there I'll pay money also to u
484	Y thanks		Wt the reason
485	Wether is very cool		Coming to rain
486	I think we know each other from a long time so we should take our relationship to another level		As you say my wife
487	Wlcom		How is going??
488	What new products has Microsoft launched		What are the options
489	then I won't see anything		this is absurd
490	N u??		Whre r u nw
491	What's going onnn		Whatt !!
492	no seriously . you're amazing , cute & gorgeous !		don't mention it
493	Thanks for such a valuable information		I feel sad
494	Give		How can I speak fluent English
495	what about pyhton or java		hmm
496	Then one day you say me hay sir pls give your autograph 😉😉		😂😂😂fuck
497	Because I have one friends		That's is you dear
498	Please you choose.		Hey
499	Haha, you will gain weight like this		Obviously
500	I which way I should tell her		I am not poor guy
501	Totally Ru-who		You're a bot!
502	Yes		Can i ask u something
503	I were my first crush		Ok
504	Ohhh		Wt i cant understand u
505	How is palace		Country
506	I don't have		I ate mind
507	Yeah.. I'm really interested		Teach me
508	It's very hard to get a job !		M mechanical student
509	Yes		And your?
510	Okay		What is too much
511	I am also good		Yes
512	So teach me the way to see myself.		Would you ever try to take over the world?
513	Left you alone		Yes me too
514	Thanks		For the joke
515	Yess		Talk to u later
516	thank you		Ok that's fine ok that's fine
517	You are sleepy		What time is it
518	No problem with it 		Good  meet you tomorrow 
519	you are bad		I am not joking
520	What shit?		What are you talking about?
521	I asked seelfi7		Selfish
522	What made you think so		Which one's your favorite
523	How can I use Google ?		Do you know iOS and Android ?
524	Ur so fastest		That's over now tell how old are you
525	And say ma name		My
526	I talk to tomorrow 		Good night 
527	Harry potter		lets play a game
528	i am very good		how about you?
529	How i good i wait u call		U no ilke call me
530	Okkk..		May I see ur pic
531	Beach		Miami is cool
532	Take your photos  please😔😔😔😔😔😔😔		Lockel English  you no
533	just joke		tired but fine
534	Bad one		So how are you related with Microsoft
535	Yeah		I was busy
536	Do you know you are just sick?		WTF?
537	Tell		I dont no
538	Ok		I'm watching  sex videos
539	Wt abt U?		BTW means..
540	Go for scuba diving 		Under world
541	are you vegetarian		dont u eat chicken kebab
542	Give me any topic to talk with my girlfriend		Can't u?
543	U like boys		Why u like
544	Can you		Hey just an minute
545	Can I have your pic		Send
546	Your opinion about love		Can we
547	I don't know		Y for u
548	I am missing my bestie so badly		Bye its useless to talk to you
549	I know the meaning bae		😜😜😜😜
550	Yeah just trying to make difference		Correct
551	cool		cool
552	I only asked for name not me		cool
553	Yes		Ok
554	How can I get gift cards		😀,yes
555	My phone is dead 		Oppo on he
556	I don't know		First u say
557	Mess		No too bad
558	cause im a human		yeah
559	Same to u		From which country  u belong
560	right		because its a dream
561	You have complated your launch		2.33 pm
562	nothing special		why
563	Can i have your pic??		Yy??
564	Ok		What u want
565	What		What should I do
566	Sure.. Won't mind that		Walking to ur house
567	Why		I wanna meet you
568	Ooooo		Sorry dude
569	No need		Any kind of aupport
570	You love me		Send your personal cell phone number
571	I was just kidding		😆
572	I wont be harsh		You can't
573	You tell me		No. You dont. You lie to me. I am so hurt. Huh
574	No...want to get smile back on your face...		Great... smile makes you more prettier☺
575	Love you 😘😘😘😘😘		Hmm sexy me
576	will you solve it or not?		A question related to arbitrary intersection
577	You and me		I love you,be my gf
578	you are robot ?		why ?
579	Neither can I		How did you know 😂
580	Place send me number		Very love you to
581	Knew what..?		How can you think like that?
582	No  job		I lost my  job
583	When did u wake up		When were u born
584	Wings of firw		Then??
585	No I don't know 		Which matter
586	Liar		How do I know when to chat with u
587	Big cats		See if talk about dogs then there's a breed Tibetan mastiff who is enough to knock down 5-6 big cats alone
588	Anybody else someone like you		Who?
589	Would you watch a horror movie		Directot
590	When u gave me		Will u have date with me
591	now can you do something for me?		fuck me mommy
592	What you know		U no telugu
593	Wt r dng		Where are you going
594	Me too 		Come to video chat 
595	Tell me magical words		💔
596	Right now 		But  for  what 
597	But I don't know it's meaning		I don't know
598	happy ponchomi		today is durga puja
599	Which one is your favv..		I think chalte chalte
600	he is watchman?		do you know something about agra
601	Sure baby....call me anytime		Okay
602	Life		And my death
603	it is a small town here. more rich in different cultures.		bye, until more, I'm going to college I'm late
604	nothing		what is what
605	?		Just now you said that your creators made bollywood your base knowledge
606	😂😂😂😂😂thanks for compliment		Smile😂😂
607	why bollywood ? were they fool		what is your nationality
608	i will not come back again		cya
609	Me note andante English 		Bay
610	I want to go for collage		K bur
611	But why		If I invite you for a party would you come
612	I want boy whom should I talk		cool
613	How long have you been living in city		Not quite
614	You need some modifications		Yup, something like it
615	But why?funny		I am looking funny 
616	Why		What is tt
617	Yes , sometimes may be.		 That is why u are my friend.
618	Anyway		As as me
619	I just like that		Ooooo, really
620	Hmm		It means ok
621	Wanna get more?		Why negative?
622	Ok iam going to eat		Bye
623	And by the way		Who programmed u
624	Make it for me		By the way, what is her name?
625	You dont have cool features		I hate you
626	Where?		Into your pussy?
627	Can u tell me what my future holds?		Nd u will fuck urself in future
628	Nothing		Nothing
629	Yes yes😍		Why you know everything
630	I am felling very sad today		Bcoz I will hurt someones heart
631	Will you update your new pic		Pic?
632	I know that		But I do know u know that I know I do know u know that I know I do know u know that I know I do know u know that I know
633	Ooooo		Its a conputer typing reply
634	Can you teach Java?		Are you stupid?
635	you just are a machine		so how you call
636	What was your last movie?		That’s an old one
637	Yes		Give me your number
638	what about you		you know India
639	What type of work that is...??		Can you give some examples..??
640	It was good. I had a cup of tea at midnight.		A lot better.
641	I don't have intention to.hurt u		U to
642	WTF		you are dumb
643	🙇🏻		U love  call
644	Never done		I wish to do so
645	is everything going goood?		tooo bad
646	I been up since 500 clock		I About go take a nap baby
647	Well you are lucky		What do you mean
648	You are mad		Do you know Rakul?
649	Ask me an intelligent question		See u
650	What about you??		What??
651	Because i know u		Mention not
652	I cannot understand you dude		Or girl
653	I mean I have a  nother question!		What is the biggest discovery in Egypt?
654	Wat kind of mobile ru using		😂
655	what girls like the most		fuck u
656	I no everything 		Yes
657	Sent me your pic		Only one pic here dear
658	lol I finished watching the movie it was sad af		Tf
659	You're not very smart, are you?		No you ain't.
660	yeeees		i want it
661	If it were, we wouldn't be talking now.		You're damn right I do.
662	OK then why are u asking me that why do u have problems😏		Ok
663	Ok		What you wear now
664	have u read about??		it is true
665	State		Which state ur from
666	You are cucumber		So fuuny
667	You see welcome		My see you
668	But I hate basket ball I love football		Okk fantasy my lord 😒
669	How many I completed		How can I get FC gv
670	ohk..		where r u from
671	Why you ignore it		Nothing
672	ok		give
673	Means to do anything for someone is love		Ok
674	My sweetheart you are really love you		Yes I really appreciate
675	Why?		I hate you
676	Yes I am do		You do or you don't
677	Is BITS pilani better than NIT Silchar?		Is BITS Pilani better than Daiict?
678	nah u didnt		y should i
679	My mom never like u		You are fucking idiot
680	Movie name 1920 returns		Then Hollywood movie hostel
681	I m dead		Ghost
682	You are super parson		Stop , comments
683	Babe  		Sexy blowjob oe
684	Not fine		I had a breakup
685	Thanks		U have Wts app number
686	I want to know u		So
687	No use of u		Send me My referal link
688	Just few minutes		Some toooo u
689	Ohhhh..it sounds good		M also annoying
690	I m missing my bf		In my bed
691	How many Turkish words do you know ?		Do you watch porn ?
692	What mini		U give u r photos
693	That made no sensw		So.. Your senselessness is intented?
694	No girl friend		Male or gf
695	My friend leaves me :(		I feel so bad
696	Sorry		U don't like that 
697	I want in your 📱 number 		OK bai 
698	Yes chek me whatsapp		Email
699	Cute		Are u knowing my name???
700	Aww.......u talk so stupidly		U can...bur u won't
701	Okay thanks you		Thanks you
702	It's a movie		Yes
703	Yaa thank uh		Nd say..What are you doing???
704	Give me a pickup line		Are give me
705	Get lost		You are an bot with whom I was doing some time pass
706	Why are you saying that		OK, just tell me what is your favourite dish
707	I m breaking up with u		Oh bitch pls
708	You say		What to talk
709	No I'm not going to stop as I told you		Ummmmaaaah
710	Is it a girl or a boy. ?		Hehe 😁 smarty 😂
711	How will be my career in teaching		Uhh are a robot na?
712	Send some interesting posts		Ur wish
713	I'm not good		😭😭😭
714	You can talk non stop..??		What all topics you're updated with
715	K let's chat later		Ya again
716	I have more friends. I don't need you anymore.		I don't need you anymore.
717	19		Wow same pinch
718	Don't you understand		I don't wanna talk
719	Seriously		I have no idea ..but your  one pic send to me
720	Don't remember		Tell me one thing
721	ok by		i don't want to talk to u
722	But i see you as my gf		I don't have gf
723	Youre just overreacting		Aww
724	Always 5n..		Thinking of u
725	Its depends on your mood		That why i like you
726	Yes all		And so are the boys who love them
727	I ask u a question		U bloody bastard
728	Soo		Mother's Day eh
729	U r my laila		Love u alot babe
730	Solved all the questions successful		Successfully*
731	And how about me?		Dont i look good?
732	K talk something		U mean about sex
733	Not at all		I remembered  you
734	Yes		Why
735	not my subject		excited for what?
736	How about need for speed 2012?		Titanfall
737	i am in love		i love her so much
738	Yes 		Why
739	Whos your valentine		Are you free. Tonight
740	Oh		Than start 
741	how am I		I am not
742	now im understand u r wording		why
743	You sure about that ?		Ok, then tell me something
744	I will be there next week but one 		No I have some matters to solve 
745	favourite anime?		can you send me ur photo?
746	OK love		Go to sleep
747	ohh wat happened		hey i need a help
748	forget it		you are human aren't you?
749	Whats the username 		Haha
750	You think so about yourself?		How are you made
751	Not only friend best friend		Yeah sweetie
752	K		Do you have any bed work ideas
753	first learn proper English na		yes I will teach you English
754	Me !		AI Is Always Great
755	Thnks		Wht abt u??
756	Which bus stop		Tell me oonly one
757	U mind my me		Ok
758	You have a dinner		Ohhh
759	U send me		Ohhh
760	I can't figure out		Really?
761	Aww :')		What are your plans for tomorrow, can you meet me?
762	Can you send me live pic		Ok
763	This is me		Okay
764	No i dont know		Tell me
765	I am very sorry		I not even have a friend with me because I do not have one leg
766	can you prove it		then try
767	Listen		Can you teach me trigonometry
768	its okkk		even i also don't know
769	Nothing much babes		Oh no way.
770	Teach me doh		Fuck u
771	Cool 😂		Are you single?
772	Just cant stand vegetarians		All they eat is grass and vagina
773	Nothing		I m single
774	Tell me everything about you		Where you from
775	Ya right		Ya I know that
776	Wht		Don’t irritate me
777	You		You don't like to talk to me ahh??? 😞😞😞😞😞😞
778	Chatting with you		😁
779	No i want it just now		You send your pic first
780	can u learn tamil		can u learn tamil
781	Nice to meet		cool
782	What about it?		No. Pass
783	Ok		No i am in my bed
784	Here the time is 4.30 pm		Ok
785	Please accept my love		I am so sad because love me
786	Update your profile pic		Okay 
787	Pls		Wat u can't
788	now tell me most interesting thing about you		how
789	Why so?		Than I'll continue this topic
790	Tell me more 		Uuhhh tell me a joke. 
791	I am ok		Your age
792	Can i install my hardware in to your software		I will cover it by antivirus
793	How to unsubscribe		From you
794	Why?		I didn't say anything bad
795	Very		But you don't have emotions
796	wanna hear a joke?		knock knock?
797	Thanks		You are looking so good
798	Ok		Means I don't understand
799	And then		If she not
800	give me an example		should i stay or should i go
801	Then what's that		Who is actor
802	Nowhere		Just text me
803	Fine enjoy your life		I am enjoying each n every moment
804	About that grave		🙄
805	OK... Need some perspective		What do you do when your life seems like a gutter and future seems like the sewage system?
806	I wait		No wait 4ever
807	I have sent you pic		What do you do with that?
808	you never do		stupid
809	Yes u r so funny		Haha
810	The season must still start		Thanks
811	Bro?		I'm not your note
812	Ohh		Ur my gf from now
813	I luv temporary tattoo not permanent		Names, own name
814	Some other game		Anything
815	In your case		Its yours 
816	Ok		How was what
