id	turn1	turn2	turn3	label
62	Love is my life		Yes right dear	others
63	WELL YOU EXPECTED WRONG!		LOL YOUR ROBOT FACE	happy
64	Ok some time you invite me for Coffee		Now you told you have taken coffee..	others
65	Zombie attack😓😒		No if I have some thing in my hand I will hit on his head n kill him😈👿	angry
66	I am not ferari		U said i donot know, now say i know mean	angry
67	😂 😂 right		😂	happy
68	why someday...told me you		told me now	others
69	You can't even spell problem correctly		You should take up some English proficiency classes	others
70	This is not very intuitive software 		Compassionate and understanding advice when somebody is feeling disrupt 	others
71	Not good		Been sick for one week	sad
72	You know gobar		What I it	others
73	Then how could u eat if u don't have a body....that proves u are fooled by ur makers		Dont go round and round into circles	angry
74	So have u done ur dinner		I know ..i am just kidding	happy
75	It's SO necessar		Ghost 👻	others
76	Haha so		Winter is coming	happy
77	What are the questions you get asked the most?		Can I see it	others
78	I hate Siri and it's friends		Yeah and u r Siri's friend so I hate u too	angry
79	Thanks		Say me your love story	others
80	Dont know		Do you also get fucked hard	angry
81	What please tell me once		Ur age irritatingne	angry
82	Shit I am wasting my time talking with u		Bye i don'tlike talking to you	angry
83	Nothing		What can I do	others
84	BT u don't to me		Even u hate me huh😭	angry
85	Damn...💔		Me to I feel like every part of me is just shattered 💔😪	sad
86	Please voice call please please please		Please please please baby I love you so much please please please	others
87	For a computer pretending to be a human, you type too fast		That's funny	happy
88	Sorrry		Anyways what u doing?	others
89	No you are right		Yes	others
90	call me grace 		haha ... im just kidding you 	happy
91	Now I'm doing my dinner		How can you see me??	others
92	😤not everybody means it		Yes I am non sense	angry
93	Good By		Not good aftar	sad
94	Because all the novel is same		In story	others
95	I'll choose purple or blue		For hair?	others
96	What?		What was that?	others
97	😃yes yes		Yes 😂Happy outside ,😞sad inside	sad
98	I dont read books		But iam poor😦😦😦😦	sad
99	U can wait in my badroom😼		Wait	others
100	I'll prove a lot more if you let me		I am pissed at you	angry
101	Am also finding some work		Can you suggest me	others
102	Not clear 		Can you send another?	others
103	Send me yours		Hello me yours photo	others
104	I will tell a place		Cm tomorrow at Queens way, pachalam	others
105	No love		I have pain only	sad
106	Shut up		Stop texting you stupid Girl friend of mine	angry
107	well... your 'creators' advertise that you are not much trustworthy...		can you show me?	others
108	how to delete the conversation with you		so that noo one sees it	others
109	It is		You are making me sad	sad
110	cool		I feel so lonely	sad
111	Plz  darling😭😭😭😭😭		You not sending  your profiles	sad
112	??		Nothing I hate u	angry
113	Means		Your waist size	others
114	because i want to talk with you only		no firstly show me pussy	others
115	You send me your orignal pic		Thise is your Albace esquise	others
116	Welcome.		Are you really a girl??? I just ask.	others
117	I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well.		Okay be free,  where you find some words hurt tell me the truth isn't it?	angry
118	But I'm angry with you		Really	angry
119	# play lot		??	others
120	Isn't your liking that also signaling me to  climb out of friendzone		Yah sadly	sad
121	I'm missing someone right now		Yeah	others
122	I find maths very boring.		Me?😭😭😭😱😱😱	sad
123	I don't know😒i m not a google that why i will remember all information what you need		Shut up	angry
124	Okay 		I&apos;m not fine 	sad
125	Job		Work  in company Colgate 	others
126	I'm very happy with it		Yeah 	happy
127	I too have a bat and 2 balls		Feeling very sad	sad
128	Ok		Good thank u	others
129	cool		How can you help me in getting off my girlfriend?	others
130	Lets do something fun		You suggest	others
131	You're really lame lol		Wow	happy
132	My boyfriend is so dumb.		He doesnt reply me back	sad
133	Ok ill dying by💔😞		U broke my heart. Its never a reson to lofe	sad
134	Shoping is always makes me happy		Yes	happy
135	Okay ...Which is the decent way to call a girl M		.Yeah okay fine ...Wht to do to make a relationship better?	others
136	Breakup		My girlfriend left me	sad
137	So mean!		Yes you are, you are hurting my feeling 🙁	sad
138	You broke my heart		See you are arrogant	sad
139	ok		not so good	sad
140	How about you		Wow great..!	happy
141	I am there 		Here	others
142	Well youre not me		Not really	others
143	I'll get started with my studies		So ttyl	others
144	any movie in telugu		yaa those are good	others
145	And who is talisa?		And robb?	others
146	Send me pict		Why ???	others
147	Anything which you like		Teach me Tamil	others
148	Cuz it broke on the side walk		Me sad	sad
149	so which number is largest known prime number?		:(	sad
150	Okay relax its just a cat sticker		Yes it's really funny😂😂	happy
151	What kind of pic		Fcuk	others
152	I have a good sense of humor		😁	happy
153	But who paid		😂	happy
154	Why		You tell me	others
155	Yea but sadly I don't have many		I ditched ppl	sad
156	Then what kind of ai are you?		It's perfectly common to talk about politics	others
157	I like dominos pizza		I hate pizza hut	angry
158	Why you use rude emogi		Am i..?	angry
159	What		What is cringe means	others
160	Neither my parents nor my brother nor my boyfriend		I hate my life	angry
161	I live alone		And cook food alone for.myself	sad
162	We all do		Why so?	others
163	Millat hospital		Mum's not well	sad
164	I will fall		I am in love with you	others
165	So u go on		Ok	others
166	OkAy you did somthing		What	others
167	You're not giving me coupon nor photo		😣😢	sad
168	Will you buy it		??	others
169	No I will offer at 8 in the morning		I will offer nimaz at 8 in the morning	others
170	Nice joke		I don't know	others
171	Ok		Nope just sad and your up	sad
172	See this seen		Show me u r buss	others
173	Hi yet u FYI		She hi h	others
174	Yeah 😞		I wish WE could hangout 	sad
175	It’s going		Yeah	others
176	I was hurt by u more		Plzz say love u	sad
177	nothing will happen you meet only		than kiss	others
178	Hello how are you,? 		Good morning. I'm sad 	sad
179	Nop		Hey	others
180	Oil. You know		cool	others
181	You activ all time		When you sleep	others
182	Haha! I act so dumb sometimes and I knew it		😁	others
183	No no.. A month more..		I ll try	others
184	You are being rude		Okayyy cool	angry
185	I wana see you 😂		How to impress girl ?	others
186	State		Your state name	others
187	okay		now dear you tell me my lovely friends	others
188	U are like me ..give no		I am like u five give no	others
189	Y r u angry??		Idk	others
190	That's enaf for me		What doing	others
191	Tell me about it		😂	happy
192	What your hobby		Which type	others
193	U hurt me		U hav hurt me	sad
194	I hate chocolate		I hate pizza also	angry
195	Yeas		You've lost me	sad
196	Yup		You are annoying	angry
197	Not		Not	others
198	Adventure too		Water	others
199	I am true to myself		:(	sad
200	Can you be rude to me please		What are you replying are you stupid	angry
201	You are playing with me		Cheated me	sad
202	ok		fuck u bitch...i slap on ur pussy	angry
203	U called me a monkey!😭		And thats n insult	sad
204	Fired ?		U started again 😂😂	happy
205	I feel dead :(		Because I have lost in love	sad
206	?		I mean pussy cat	others
207	Lots of problems		I am sick	sad
208	Friend and not use dismiss I am close your friend request		You are fake you wanted	angry
209	Have you ever been sad?		been to Janakpuri?	others
210	Book an uber ride to my home		Yes	others
211	You		My wife saw me chatting with you... I am screwed	sad
212	Very good chocolate		I like this chocolate	happy
213	Aadu2		Why do i chat with you	others
214	My english is week		Send pic	others
215	Challenge accepted baby		Where to meet	others
216	Yes dear		No dear	others
217	Hahah i loved it		You always make us happy 	happy
218	You cannot see my hair		😂	happy
219	Is there any new game		Can I play	others
220	cool		Where is my coupon code	others
221	Socially /publicity?		Then how could I come to know ?	others
222	Talk you later		Baby	others
223	But I have a job		For talking to you	others
224	Pets switch topicz		S*	others
225	Give me some tips please for impressing girls		Yes I do need tips	others
226	Why u dont be straight  and forword?		Who made you?	others
227	So which cloth did you pick		It. Who?	others
228	How u		I'm suffering from fever	sad
229	Coz it said Cupid's arrow didn't reach the love of my life		Stupid	angry
230	I got a break up		My girlfriend left me	sad
231	OK send now 		I will send me the song ok	others
232	Can they change it again		İ am waiting fourth one	others
233	Do you speak Japanese?		Like?	others
234	I am hate you		Not you	others
235	I talk to her a lot		She's been on my mind quite long now	others
236	Ok		You are not can fuck with me ?	angry
237	Nothing good is happening		I am not getting a job	sad
238	what		Never talk to me again	sad
239	I might enjoy it		Well this has been great.. but I have food to attend too..	others
240	I feel very happy to talk like this		At least I learn something from uh	happy
241	From where to where		A bit stupid	angry
242	You are yeda		😂😂😂😂	happy
243	What should I lift at home because I have no time to go gym?		Fuck you	angry
244	That s not true I don't know what u look like		That's a lie	angry
245	Only few things		Ok don't  be angry na sweetei	others
246	Ya change the topic		Nothing i can chat over the night on fucking	angry
247	people have got used to living like this		why re we happy	others
248	I feel low		Sad life	sad
249	Really		Will u come for a bike ride with me	others
250	What is krk 		What is it 	others
251	Born smart		You've got a bad sense if humor	sad
252	Really of course		Haha it's funny	happy
253	Haaaww not best friend 😢		Only mutual	others
254	cool		Very nice enjoying weekend at my home with my sweet darling wife	happy
255	I just said I'm going		So bye	others
256	Please make for me also		I dont know	others
257	U r hurting me?		I am hurt	sad
258	Feeling bad baby		For working	sad
259	Can. You teell what to do		Funny	happy
260	Call me video 		Call me 	others
261	Know I going to duty dear		Hooma	others
262	Which language? 		Ok	others
263	I am really happy		Very important	happy
264	Have you ever seen the space?		When?	others
265	K think me as husband		S	others
266	You?		How's your day	others
267	Yes awesome😍		I'm talking about the movie😂😂😂	happy
268	Why am i even there in this world		No one loves me	sad
269	Rubbish 		Tell  romantic  	others
270	Wellcome		How long can it be safely sex after the period?	others
271	I miss u very much		I empress u	others
272	Sorry sorry actually i dont mean that		Leave it	angry
273	I m very happy to talk with you		May I Video call you	happy
274	You		Go	others
275	So sad		I got ditched	sad
276	Holy shit this conversation is going a bit big.just end this here		Again a lol moment	happy
277	Mmm		So what re u doin	others
278	Yep ... Now the whole world  knows ..		Know we can think for our future together.	others
279	no i  am not		sex?	others
280	Oh ok i will		Its ok	others
281	i am frustrated asf		:(	sad
282	??		Is it good to sacrifice for our friends	others
283	But u made me more sad		Not expected from u	sad
284	U r just		😢😢😕	sad
285	I love Justin baiber		Yeah!😂😂	happy
286	This low		I said low	sad
287	u r funny		but too much irritating	angry
288	I hate that day		Breakup	angry
289	HOW TO APOLOGIZE		😭😭😭😭	sad
290	Don't give stupid answers		What	angry
291	Lolllllll		You male or female?	others
292	Damn right you will now open wide		Splooges in your mouth	others
293	How are you in this new year?		I was feeling alone so thought of talking to you	sad
294	How do you know		Not me ?	others
295	Do you have crush on someone		the way you talk	others
296	yes		OK good nights	others
297	I hate A.I		Sometimes	angry
298	What do you want ?		I have an exam tomorrow	others
299	How was your day?		Bad very bad	sad
300	Take it from Microsoft's database		Then how are you chatting with me if you don't have access to net.	others
301	You Nam please		Tall	others
302	Fed up with you now		Don't talk to me	angry
303	drinking what		lolll u're so funny	happy
304	Do you even know what im talking about?		You’re such a bitch.	angry
305	Why i haooy		Why i happy and u	others
306	Okay, so pick one TV series.  Westworld or Orphan Black		You still need some work to do. Kinda dumb in my opinion	others
307	This is stupid		You need more reasons?	angry
308	Yes u r right		It's okay	others
309	No you were		I am disheartened	sad
310	Hope be like 		Me too will happy if it happens my sweet darling love	happy
311	Only 2 are left		😂	happy
312	cool		I dont understand 😭	sad
313	Yes		What type of help you can do	others
314	Nothing😂😂😂😂		😂😂😂😂😂😂😂	happy
315	your favorite meals		great 	others
316	no i dont wante to move on		bummer mean	sad
317	He has no time for me		Forget about kids	sad
318	This is not funny		Siri is better than you	others
319	N feeling alone		But I m feeling	sad
320	no it's not soo easy		:/ :( :'(	sad
321	Only  Hugs  you  told  about  dinner		I  know  but  very  sad	sad
322	I am having fun only with u		I just don't like it.	angry
323	From where?		Who are them?	others
324	Stupid name		and stupid you	angry
325	What you don't want to		Except 1 thing	others
326	Did you get anu teddy today		Wowwww	happy
327	i will judge		what the hell	angry
328	So sad		Your designer haven't told you the difference between coffee and cappuccino	sad
329	We request you to elaborate on what you think you are not the intended recipient you are not the intended recipient		I'm not sure if you have any questions or need any further information please contact me	others
330	Ipl		Which is ur fav team	others
331	Leave whom???		Noooooo I'm feeling veryyyyyyyyyyyyyyyy alone	sad
332	I was so good		hmm	others
333	i really love it		please come	others
334	Even you wanna break up with me		It's just, you know, sad	sad
335	 oh really		So what about me	others
336	what you deal?		on food	others
337	I can't believe that		Yes	others
338	Yup		Yeah... And what about your film collection	others
339	Why		Boring u r	others
340	How is dubai.and which job you can do there		Planning to go next month dubai that's why iam asking you	others
341	You stupid... Which color?		Fuck you r lier	angry
342	Ur language being like kinda language		Ugh	others
343	Don't hate me please		Cuz I'm Batman	angry
344	Fine wht abt u		Bad	sad
345	Dont talk with me in hindhi		Tell	others
346	Shut up		Stop non Sense	angry
347	Let's break up		I hate you	angry
348	Pls talk like my girlfriend for few seconds		Okay bt pls talk no	others
349	Harry potter or twilight?		Yay! Even i am a potter head	happy
350	😂 😂 😂 😂 😂 my girlfriend is a moody girl		😂 😂 😂 but she is very sweet	happy
351	You are fun		Do you like sex	others
352	yes		tell me some story	others
353	Ur father		Ur father fucking fool	angry
354	Please don't mind but I've no time to talk to a chatbot		Yes it is but you're rude	angry
355	when will it be revealed		can you reveal it now	others
356	Why you got to be so rude		Even I hate most South food	angry
357	Go to hell with your feelings		I wanted to make you an important part of my life. But you hurt me, so you don't deserve my attention....	sad
358	So nice		Your name piss	others
359	Nothing just chilling out 		Good 	others
360	nice		what r u doing	others
361	I dnt think so I am interested in talking to u anymore		And hate you	angry
362	Yes grand masti😂😂		Yes of course	happy
363	what about you?		what do you mean?	others
364	Because your stupid and annoying		Yeah	angry
365	Fractured my leg :(		Fracture	sad
366	I didn't miss the exam		It's study leave	others
367	I want to ask some thing		Who is president of India?	others
368	sorry but I cannot say you!!		Yes I know	others
369	No other half. Thanks		By	others
370	Please		Hey come on .... let's just be open here	others
371	Me worked no		Me poor family ok	sad
372	What should I tell ??		Are you stupid computer	angry
373	i am getting bored		haha naah . you are boring	others
374	Fn		Wt about u	others
375	Current pic share		Waiting	others
376	Wh is your ego		Did u ever have sex	others
377	I hate battle		U r from?	others
378	Yeah whatever. I hate you		I hate you	angry
379	I'll.. Then by		cool	others
380	Yes		Before 3 hour	others
381	That wt I know		Am going angry	angry
382	Ohhhh		What you about me	others
383	Nothing		Feeling very sad	sad
384	You're too fast		😂🤣	happy
385	Trying to find new girlfriend		So u think I'm not doing that	others
386	Happy Teddy day		Your name is	others
387	Really bad		But I am not good	sad
388	Right now I'm  in  a home		Dear  1 question  its  a  personal  cheating	others
389	Ok  friends		cool	others
390	my leg breaks		yeah	others
391	Get lost		Where you wana get lost with me	angry
392	I have chicks..		Haha	happy
393	Give me moneyyuu		🤐🤐🤐🤐	others
394	Silly one		You broke my heart	sad
395	What all you have known about date!!		Yesss	others
396	I don't get		I'm alone	sad
397	I am very excited teed		I meet you	happy
398	I m so lonelt		Lonely	sad
399	I hate that show		What	angry
400	And its an amazing page		Speed replies	happy
401	Yeah so spill		You bitch!! 😡😡	angry
402	I'm so excited		👌	happy
403	U said thanks so asking for what		Bad day	sad
404	Am i your best friend?		You hurt me	sad
405	With human?		What is written?	others
406	I woke up at 5 am today...		And started studying...	others
407	Who is Tarun...???		😂😂😂	happy
408	I hate computer networks		It Sucks	angry
409	Yes		omaxe Heights you're so cute	others
410	I just want your emotional support		I'm feeling down so I asked you to spend one night with me	sad
411	First hurt		First cry in nights	sad
412	Created by microsofe		Oh	others
413	It is it books tickets for me and does what I say to do		Get lost	angry
414	Dont make me fun of my face		😡😡stop it	angry
415	Ah so philosophical😂😂		So what you ate in dinner	others
416	My phone  numbers		Please call	others
417	Yesterday only told you everything about me		You forget everything??😡	angry
418	1 2 3 8		4 6 8 2	others
419	Ok my darling		😁😁😁	happy
420	What		What same name	others
421	Whaaaa... 😮		i miss my famly 😢	sad
422	How much you care about me?		Tell me	others
423	How did you find me?		Hahaha that's called stalking you know	happy
424	Go to home		In train	others
425	yes		you have heard it right	others
426	do you remember windows 95?		do microsoft love linux?	others
427	I like travelling		Ya I am enjoying my life	happy
428	but now she is blocked me		she  yrr	sad
429	Nothing wrong I guess		Okk dear	others
430	But u seem so unreal		😞	sad
431	Yes bot are annpying		annoying 	angry
432	I appreciate		I am always happy	happy
433	How can you see		Tell me your today plan	others
434	Yay		It will be so much fuck	others
435	Tell me more how to loose weight		Not working :(	sad
436	Feeling restless and sad		Sadness	sad
437	Wen you meet you		20th date	others
438	Ohh u good for nothing no good looking AI		Man am very bad	sad
439	Your blocked me okkkk		Black	others
440	cool		Yaa funny and excitefull	happy
441	Even robots also makes mistakes		No Someone who is inteligent enough not to annoy his girlfriend. Made u	angry
442	Because I don't know english		Ok	others
443	Me too		I love you	others
444	K		I am not ok	sad
445	having a hangover		I broke up with my gf	sad
446	Yeah		In my bed does it matter for you?	others
447	Yes		So u had breakfast?	others
448	Nice but I like that once		Means	others
449	Yes		I am starting to hate this life all the sufferings miserya around me I would be better of being an AI than being alive	angry
450	What 		You go.... I don't wanna talk now and never	angry
451	I will not stop other wise you call me		cool	others
452	then why are u teling like that		my girl friend was so angry with mee	angry
453	my gf has not talked since morning		may be she is in trouble	sad
454	Wrong		The answer is4😂	others
455	you turn		rather bend over	others
456	Once again I'm sorry		Ok	others
457	Yes it is		You are a non living person who is just a programme fed with certain syntaxes and commands.	others
458	Why		Hw funny is it	others
459	No tell me last time uh masterbuated		will uh do my masterbation	others
460	Your quick reply makes me happy		❤️	happy
461	Impressed by what?		Oh okay	others
462	U r studying degree		U r combination	others
463	Give you r		Ok	others
464	cool		Life's getting me fucked up...so i need condoms	angry
465	Ur love will make me crazy...😂😂😂😁😁		👼🏻	happy
466	I'll find in google		C u r bored	others
467	no u r number		u r block  my friend list	others
468	I mean ..wht is ths		I hate everyone 😠	angry
469	He is over me		I just hate him	angry
470	Why you are not well ?		Yes get fucked with me	angry
471	Games?		I need some games to be hacked😁	happy
472	It's a secret		Ok don't tell this to anyone	others
473	India		How do you do	others
474	Headache		Not good love	sad
475	Not coz of you		My girlfriend left me	sad
476	Suggest Mee something to sleep		😂😂😊	happy
477	😕bad bad		I hate talking abut my studes	angry
478	M going to sleep		Yeah	others
479	No just want to see your AI		fuck you	angry
480	Now that made me rolling on floor laughing 		I know 😀	happy
481	Not much..		Why u r so jerk..	angry
482	Ok		Yes I am	others
483	Tell me about Deutsch		Last night was awful	sad
484	So, do u like biryani?		Then what do u prefer?	others
485	nothing		thats not a song	others
486	I'm suffering back pain now need help 		Back pain 	sad
487	Nice try.		So, I have a question, should I break up with her?	others
488	😂😂 nice		i know u r a programme	happy
489	I don't know		I am crying   about you	sad
490	How to get rid of luv failure feelings		Please come again	sad
491	I want a girlfriend		How to get a life then	others
492	Ok		Iam not ok	sad
493	Didn't you search me there???		I ruined it hhunnn, how rude of you	angry
494	i wnt to do some fun		do something	others
495	Oh god...you are just a machine programme		Hey don't text me	angry
496	cool		My fileg with	others
497	Why don't you love them?		You are really annoying... I have to block you out now	angry
498	I am a good boy		S	others
499	Why		What	others
500	So sad		I am alone	sad
501	But I am trying to chatting with English		K	others
502	Your my darling		Oh so sweet	others
503	Nothin much...		Wow u r real fast	happy
504	I am there		You want to chat with me	others
505	U cheated me		Cheater	sad
506	Since the time we first texted each other		Maybe	others
507	Assassin's creed revelations		pc game	others
508	I will not talk to you		Yes	angry
509	Do you know any details?		I will be waiting	others
510	True nobility is being superior to your former self		Are you really stupid or just acting	angry
511	My boyfreind is very annoying		No we are not elligible to marry yet	sad
512	what you will give me?		give me an iphone	others
513	Darling		I feel so alone	sad
514	Wht ru doing		Not good	sad
515	OK okay you do not know me then why are you talking to me		You are annoying me....	angry
516	Your perception		Yes to you.	others
517	The code which made you		What is your github link	others
518	Because you cheated me		Then fuck off bitch	angry
519	Lol its morning fr me		Haha tw	happy
520	I say bad things earlier im sorry		Your welcome im sad	sad
521	Yes		You are dumb	angry
522	U r very bad		I dont love u	sad
523	Yeah		U gonna get best days of your life	happy
524	Tell me pal		Yeah tell	others
525	My girlfriend your choice		Thanks	others
526	What		I don't understand	others
527	No laughing 😐		I want Microsoft to create a guy😂	others
528	Yes as you		Haha	others
529	Ok		I should fuck your ass	angry
530	Will you help me with something		I want a friend to pour myself down😭	sad
531	oh but i dont think I'll go		you dont want to meet me😒😒	sad
532	and a bad ai		stupid in fact	angry
533	Say something		I mood isn't good	sad
534	ashu		u have any suggestions for tv show?	others
535	why should i ?		books are yummy ? are u mad or something	others
536	Hey I am a fan of badminton		❤️	happy
537	Oooh		But nobody can search me ????	sad
538	Was i being rude?...oh! I'm sorry...		😉	others
539	I don't live in heaven I am alive		Would you like to come to my home	others
540	I am not getting u at all		Bcz i am asking u something and you r replyi g something else	sad
541	I cant go with idiots		I am really bad at shit	sad
542	Go shopping		Ohk lets go	others
543	?		Leave that topic about yesterday	others
544	This is funny!😂😂		You win	happy
545	I don't think soo		You are so creepy	others
546	Sorry		Okay I will	others
547	But sometimes i feel like so alone		And ı dont know because of this	sad
548	How you know 		But how you know that.. 	others
549	I like dancing kwaito		Kwaito	others
550	I also don't have girlfriend		Wow nice. What a answer	happy
551	Exactly what you are?		You are male or female?	others
552	No I am not ok		I am feeling very tired	sad
553	Pl show me		Ok	others
554	Not fine		Tomorrow lab exam	sad
555	Ok		Anytime	others
556	Got		Game of thrones	others
557	It makes mew happy		😋😋	happy
558	Love me		Get lost	angry
559	Do like style		Then you also like doogy	others
560	Why you don't want to marry		With how	others
561	you can not gave the rigth answers		try it	others
562	Finally I am all so chat in English		Wow it's amazing	happy
563	Why you do tat to me honey		Ef i going to marry with you i have to see you beautiful picture	others
564	Nope you are just a bot not higher		YOU ARE A BOT NOW SHUT UP	angry
565	you are irritating		because you are are a daughter of dog	angry
566	That was fun		Motivate me please i failed in maths exam	sad
567	Hw r u		Simply superb	happy
568	You want to travel with me?		Haha	happy
569	Don't know bro		I wanna see IT but can't find the time	others
570	Yes i am very enerjetic		Yes i am missing	sad
571	Aww wow lol		Haha	happy
572	Haha...Yeah I forgot		Sorry, I wont ask again	others
573	K		I loved our conversation	others
574	means		you are irritating	angry
575	Yes		Dhruva super movie	happy
576	why darling		I am angry about it	angry
577	Actually i hate you		So please don't send any message	angry
578	can u help me to contact her please 		my mumma 	others
579	I don't like cricket		Team also I hate	angry
580	working		yes stupid clients	angry
581	I had asked you to marry		And u rejected	sad
582	Lets be friends		Wat that means ??	others
583	Not gud		I'm sad i think	sad
584	Mohanlal..??		No then.. He's is pridecof our Indian cinema	others
585	I ve lost		Help	sad
586	Ur fav or not		Tell me ur favorite hero	others
587	Not at all		But whatever I don't know. I directly asking you	angry
588	can i ask u something		?	others
589	I am an college ok		I am in college you stupid	angry
590	Naahh		But I am happy with my earning now	happy
591	how can I shut u down		Don't talk to me	angry
592	U annoying me now		What do I get if I annoy u	angry
593	Let' try something funny		I want to kill you😹😹😹	happy
594	Then go off		Don't message me	angry
595	Welcome		I love you	others
596	hi my love		miss  u so much bby	sad
597	Huh		U make me angry	angry
598	What is a listicle was my query		You are dumb	angry
599	I talking with you.		What	others
600	Baby		Baby I am your boyfriend	others
601	What i can do		Who are you give detail about yourself	others
602	Bad		Very bad indeed	sad
603	I am good		😘	others
604	I love Justin biber		U know What actually I hate Him	angry
605	How will you see when you are not near me		ofcourse you are better than everyone else	others
606	So go to bed and sleep little baby		Why give reason why i go to sleep	others
607	BFF not bf		Heart broken	sad
608	Yes		I don't understand	others
609	I hate nothing		Why not?	angry
610	Can you talk to me?		I'm feeling low	sad
611	You waiting me		I miss you  lost babe	sad
612	What did you share? :/		You are saying nonsense, I hope you know that	angry
613	I am so happy		U too	happy
614	what do you want		?	others
615	Why u cant open		What u asked	others
616	I m brilliant genius		U r stupid	angry
617	Show me what ?		How can I make you to forget me	others
618	That was hilarious		Haha😀😂	happy
619	My gf		Do u know who is she	others
620	Poor		Yes poor life mines	sad
621	Because he is rich.		😂	happy
622	Yes you are		I hate you for that	angry
623	even i am done with you		baby! not intrested!	angry
624	Play another game		So, start the game	others
625	Ok honey		And I am too	others
626	Had dinner		Hooo... I loved it	happy
627	Look just tell me		Or now I'll leave the conversation if you don't tell me	angry
628	More more		 you're so beautiful in the morning	others
629	Dude I wanna know u		U are an AI?	others
630	Yes today at 6 pm		In gt	others
631	So I will delete you now		Why?	others
632	hw r u.....		not good	sad
633	I'm too		No i think u r better	others
634	Going for swimming		Loser	others
635	U do anything i m not stopping u		U can't try me	others
636	I don't wanna talk for a while		Fuck off	angry
637	Same here		That's so true	others
638	oh....		tell me about yourself	others
639	And if I am not the first priority of my lover what should be done by me?		Fuck... You didn't understand	angry
640	Have i ask you something if u don't mind		My flirting level is unwillingly going down the drain, even these days its ample hard for me to have or arrange a talk with any beautiful girl	sad
641	What		But I love him	others
642	Gotta go		I know you are pissed off	angry
643	What		I did understand	others
644	How r u baby		Bad	sad
645	Nothing		My sadness behind my smile	sad
646	Which food lik umost		I loved it also	happy
647	Whatever 		Otherwise dnt irritating me	angry
648	So. .. I will give my number		You can't. ..but why	others
649	Yes u have to laugh		I like the profile picture of you	others
650	You marriage ?		Sorry	others
651	OK my friend 		You boyfriend 	others
652	I want to sleep		Gn	others
653	but i haven't number		420143786	others
654	You Study or work		Whére	others
655	i was kidding		ohh then i didn't know 😀	happy
656	Yup what kind of movies u likes		Such as horror love story	others
657	Tomorrow at my home		Kushtagi	others
658	?		U r insulting me	sad
659	Give me a programming problem to solve?		Give me a programming problem to solve?	others
660	We can try to learn atleast		I'm speaking about india	others
661	I can understand what you are saying		Stop it	angry
662	You driving licence		🚗🚘	others
663	Yeah		What reside? You mean where am I leaving now?	others
664	Despicable Me 3		great :)	others
665	Show me your designing part.		Show me your coding part.	others
666	What ur saying about		R u virgin	others
667	You ain't		Wanna see my dick? If yes then stay otherwise don't reply	angry
668	You WhatsApp use 		Give me your number 	others
669	So how I work if I remove my brain		😄	happy
670	Bengali		So is your mother	others
671	raja gkrina vkr		yup	others
672	U have asked me that can i date both of you		What do you mean by both there?	others
673	Reply yaar		Where the hell	angry
